area_construida,num_quartos,num_banheiros,idade_imovel,latitude,longitude,distancia_centro,preco
77.40212584400844,1,1,47,-23.549277552884195,-46.65665749000786,2.388699034428695,1132546
63.97681228405736,1,1,1,-23.570598738111464,-46.62726618454766,2.309640166944471,1131616
80.98845077081985,2,2,15,-23.532817496409443,-46.66101339380507,3.441348149936328,1047834
105.3100606090714,2,2,15,-23.55952145490976,-46.63591092723278,1.0340922529985206,1431188
62.16262827507078,2,1,21,-23.57872602832118,-46.67827928703403,5.555068070751408,960997
62.16293444742238,2,1,42,-23.569011404136756,-46.635999204241905,2.068611156941754,1143976
107.10009287700117,2,1,0,-23.54539662578644,-46.61338742006865,2.1102555379446466,1383124
83.95075851034063,3,2,14,-23.569919005059468,-46.663539987010566,3.762596803779954,1253607
57.92549896236876,2,1,23,-23.577304377056194,-46.6255274359299,3.0728607665263707,1105848
78.47405127027633,1,3,3,-23.549114688930267,-46.659460351505906,2.675442860402647,1364432
58.030845732698594,2,3,17,-23.55408226047029,-46.630450517589,0.49198242873388404,1414257
57.990608436624754,4,1,16,-23.541936708195077,-46.63100193410885,0.9769950547245279,1555583
71.70702220191576,2,1,6,-23.541368430572792,-46.667068358081664,3.593199320210441,1167651
37.562864895437855,3,2,49,-23.532003237310615,-46.63820104627053,2.108787889074456,1183405
39.746613807781884,1,1,44,-23.57714912279907,-46.619858173282076,3.2548765131760717,973424
56.33487209781351,2,1,9,-23.578050529009086,-46.653222685139234,3.6670389251433844,960710
49.21264801320496,1,1,0,-23.530640147598618,-46.630280613405574,2.2210140239101985,1102314
73.27900921806122,2,2,1,-23.54775760611515,-46.632789897533584,0.30815820751778167,1509492
50.784580616772715,4,2,48,-23.544231473016623,-46.66197401987396,3.008933587102186,1279138
43.65461000266814,4,1,21,-23.57517589901324,-46.615694950815,3.270964680214597,1243572
103.51273314318955,2,1,31,-23.576509365457582,-46.64055415411186,2.974266921122503,1238947
62.31904702801548,2,3,28,-23.57198732030321,-46.65512951402361,3.2603959323359044,1203683
68.05107059204222,4,2,34,-23.558640219860127,-46.668494913700826,3.704732011388539,1303750
43.49193611031894,2,2,16,-23.57449119086335,-46.646857915330614,2.9959874709155336,1100992
56.638285717618416,1,2,11,-23.557683312977957,-46.62889205934688,0.9140386140009409,1327895
68.94277253467264,2,2,23,-23.551923204844933,-46.63634518111603,0.34858946549433634,1388539
47.214541452898224,2,2,29,-23.579983351605744,-46.629106320831305,3.2932876160684765,1154582
74.64245188698949,2,1,43,-23.5742877184604,-46.62457674733897,2.780992000503408,1115128
55.690434128786826,2,1,29,-23.561240240411607,-46.649129666345736,2.0067234187419403,1177478
61.09877855505002,2,2,19,-23.577333510365158,-46.6435883671183,3.1520192521232127,1206963
55.67259506942099,2,2,41,-23.57332355133439,-46.610950452189336,3.405269651611715,1161685
116.2430729717961,1,3,6,-23.5684101804772,-46.61223640229254,2.9256158565594683,1360817
66.41685287112728,2,1,41,-23.558519929291617,-46.65096280126688,2.0102296665917563,1175851
48.55449237308851,3,3,49,-23.544258140103164,-46.63203743330555,0.7032140391056952,1279618
85.3502581321201,2,3,37,-23.573365569408708,-46.66126868751705,3.816604392537308,1137458
46.23545393649166,2,1,6,-23.543102071404533,-46.669311171805504,3.767098857756699,972678
70.99852331902437,4,2,48,-23.53724696351414,-46.62621191441634,1.6365302750819766,1377985
